위도,경도,
36.624635,127.452668,porthole1
36.624872,127.456928,porthole2
36.625407,127.463478,porthole3
36.62672,127.463087,porthole4
36.628787,127.455336,porthole5
36.634861,127.45956,porthole6
37.5756,126.981166,porthole7
37.563241,126.981818,porthole8
37.552054,127.128229,porthole9
37.630422,126.874414,porthole10
37.564445,126.982192,porthole11
36.629568,127.453847,porthole12
36.630875,127.460592,porthole13
37.571393,126.907584,porthole14
36.62743,127.459657,porthole15
36.634424,127.453118,porthole16
37.507537,127.059324,porthole17
37.512488,127.070321,porthole18
37.548245,127.068627,porthole19
37.511845,127.070411,porthole20
37.509913,127.097514,porthole21
36.634625,127.453907,porthole22
37.482954,127.011838,porthole23
37.487507,126.978976,porthole24
37.5266,126.991698,porthole25
37.560258,126.893948,porthole26
37.562182,126.900828,porthole27
37.610887,126.941419,porthole28
37.611263,126.930228,porthole29
37.555409,126.957733,porthole30
37.509309,126.909336,porthole31
37.477601,127.002575,porthole32
37.517018,127.051956,porthole33
37.575251,126.896487,porthole34
37.536041,126.86008,porthole35
